,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,NINQ,CLNO
0,1,7.00397413672268,10.16049132133844,10.571983369654944,0,5,2.4423470353692043,0.0,0.0,0.6931471805599453,2.302585092994046
1,1,7.170888478512505,11.157021652204842,11.133142723386813,0,5,2.0794415416798357,0.0,1.0986122886681098,0.0,2.70805020110221
2,1,7.313886831633462,9.510519035757246,9.723223876851618,0,5,1.6094379124341003,0.0,0.0,0.6931471805599453,2.3978952727983707
3,1,7.313886831633462,10.645448706505872,0.0,1,5,0.0,0.0,0.0,0.0,2.833213344056216
4,0,7.438971592395862,11.49069008091951,11.626263078808801,0,2,1.3862943611198906,0.0,0.0,0.0,2.70805020110221
5,1,7.438971592395862,10.327087230839775,10.604627704024997,0,5,2.302585092994046,0.0,0.0,0.6931471805599453,2.1972245773362196
6,1,7.496097345175956,10.792407087614151,10.951472991359848,0,5,1.791759469228055,1.3862943611198906,1.0986122886681098,0.6931471805599453,2.8903717578961645
7,1,7.496097345175956,10.25776462387486,10.669769017083574,0,5,2.4849066497880004,0.0,0.0,0.0,2.1972245773362196
8,1,7.601402334583733,10.39516093745751,10.752377002814772,0,5,1.3862943611198906,0.0,1.0986122886681098,0.6931471805599453,2.5649493574615367
9,1,7.601402334583733,10.645448706505872,11.038929878454953,0,0,2.833213344056216,0.0,0.0,0.0,2.6390573296152584
10,1,7.601402334583733,10.026103336076316,0.0,1,5,2.9444389791664403,0.0,0.0,0.0,2.833213344056216
11,1,7.601402334583733,9.93440465517085,10.30229722897745,0,2,2.4849066497880004,0.0,0.6931471805599453,0.6931471805599453,2.302585092994046
12,1,7.601402334583733,10.714439990727769,10.915106645867503,0,5,1.3862943611198906,0.0,0.0,1.0986122886681098,3.258096538021482
13,0,7.601402334583733,11.07499398172423,11.37826200322577,1,3,1.252762968495368,0.0,0.0,0.0,3.2188758248682006
14,1,7.650168700845001,11.170449240431308,11.336796693238679,0,5,2.1972245773362196,0.0,0.6931471805599453,0.0,2.833213344056216
15,1,7.696667081526462,10.097449430486758,10.454149084799319,0,5,0.0,0.0,0.6931471805599453,0.0,2.1972245773362196
16,1,7.696667081526462,11.41815314049579,11.538602958260002,0,3,2.0794415416798357,1.0986122886681098,1.9459101490553132,0.6931471805599453,3.1354942159291497
17,1,7.696667081526462,10.044596413496008,0.0,1,5,2.995732273553991,0.0,0.0,0.0,2.833213344056216
18,1,7.741099090035366,10.246828999162442,10.600402625664993,0,5,1.7047480922384253,0.0,0.0,0.6931471805599453,2.833213344056216
19,0,7.741099090035366,11.536358748352967,11.70316558700848,0,2,1.0986122886681098,0.0,0.0,0.0,2.6390573296152584
20,1,7.741099090035366,10.535477156784617,10.740756721857226,0,5,1.3862943611198906,0.0,0.6931471805599453,0.6931471805599453,2.70805020110221
21,1,7.783640596221253,10.819798284210286,11.203624717204844,0,4,1.791759469228055,0.6931471805599453,0.0,0.6931471805599453,0.0
22,1,7.783640596221253,10.239995502805316,10.616461869895815,0,3,2.5649493574615367,0.0,0.0,1.0986122886681098,3.1354942159291497
23,1,7.783640596221253,9.798182590890704,0.0,0,3,3.1354942159291497,0.0,1.0986122886681098,0.0,2.3978952727983707
24,1,7.783640596221253,10.645448706505872,9.751559401061966,0,5,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003
25,1,7.783640596221253,10.459210057184402,10.767895342530602,0,3,2.5649493574615367,0.0,0.0,0.6931471805599453,3.091042453358316
26,0,7.783640596221253,11.497304084067272,11.671603025849786,0,2,1.6094379124341003,0.0,0.0,0.0,2.6390573296152584
27,1,7.824445930877619,9.61587214452889,9.913487387114461,0,5,2.9444389791664403,0.0,0.0,0.6931471805599453,2.995732273553991
28,1,7.824445930877619,10.131300186698601,10.500976992899632,0,5,2.3978952727983707,0.6931471805599453,1.0986122886681098,0.0,2.302585092994046
29,0,7.824445930877619,8.88599431515281,10.703626417674236,0,1,0.0,0.0,0.0,0.0,2.5649493574615367
30,0,7.824445930877619,11.176179190804158,11.272139700982676,0,4,2.1972245773362196,0.0,0.0,0.0,2.5649493574615367
31,1,7.937731775260109,10.835572890308924,11.052491896264268,0,1,3.295836866004329,1.0986122886681098,2.772588722239781,1.3862943611198906,3.828641396489095
32,1,7.937731775260109,8.294299608857235,11.016183532134377,0,5,2.833213344056216,1.6094379124341003,0.0,1.0986122886681098,2.302585092994046
33,1,7.972810784121404,11.272139700982676,11.635151947212842,1,4,1.9459101490553132,0.6931471805599453,0.0,1.0986122886681098,3.295836866004329
34,0,7.972810784121404,11.55166529328616,11.630761832537774,0,2,0.6931471805599453,0.0,0.0,0.0,2.6390573296152584
35,0,7.972810784121404,11.555735881268937,11.70108826178917,0,2,1.0986122886681098,0.0,0.0,0.0,2.6390573296152584
36,1,7.972810784121404,8.955577146281511,11.127218865537973,0,5,2.833213344056216,1.3862943611198906,0.0,1.0986122886681098,2.1972245773362196
37,1,7.972810784121404,11.034292711693084,11.169251357018272,1,3,1.0986122886681098,0.0,0.0,1.3862943611198906,3.6375861597263857
38,0,8.006700845440367,11.557621545519082,11.709560756403642,0,2,1.0986122886681098,0.0,0.0,0.0,2.70805020110221
39,1,8.006700845440367,8.853808274977197,9.918425424900335,0,5,1.3862943611198906,0.0,0.0,1.791759469228055,2.302585092994046
40,1,8.006700845440367,10.645448706505872,9.082620630373812,0,5,1.0986122886681098,0.0,0.6931471805599453,0.0,1.3862943611198906
41,1,8.006700845440367,10.645448706505872,10.404293143019792,0,5,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098
42,1,8.006700845440367,11.693804314896258,12.173037959397275,0,5,2.1972245773362196,0.0,0.0,0.0,3.332204510175204
43,1,8.006700845440367,9.90353755128617,10.300618023854234,1,5,1.0986122886681098,0.0,0.0,0.0,2.5649493574615367
44,1,8.006700845440367,10.645448706505872,9.581972891547895,0,5,1.3862943611198906,0.0,0.0,2.70805020110221,1.0986122886681098
45,1,8.006700845440367,10.645448706505872,9.55400099583723,0,5,0.6931471805599453,0.0,0.0,0.0,2.995732273553991
46,1,8.006700845440367,10.757924157061597,11.322986972837104,0,4,2.3978952727983707,0.0,0.6931471805599453,1.791759469228055,3.295836866004329
47,1,8.006700845440367,10.449960203748262,10.734242182303689,0,3,2.2512917986064953,0.0,1.0986122886681098,0.0,2.3978952727983707
48,0,8.006700845440367,10.968215530759236,11.177466714598282,0,3,2.3978952727983707,0.0,1.0986122886681098,0.0,3.258096538021482
